"ProductKey","SKU","Product","Standard Cost","Color","List Price","Model","Subcategory","Category"
"0566","BK-T18U-58","Touring-3000 Blue, 58","461","Blue","742","Touring-3000","Touring Bikes","Bikes"
"0567","BK-T18U-62","Touring-3000 Blue, 62","461","Blue","742","Touring-3000","Touring Bikes","Bikes"
"0577","BK-T44U-46","Touring-2000 Blue, 46","755","Blue","1215","Touring-2000","Touring Bikes","Bikes"
"0578","BK-T44U-50","Touring-2000 Blue, 50","755","Blue","1215","Touring-2000","Touring Bikes","Bikes"
"0579","BK-T44U-54","Touring-2000 Blue, 54","755","Blue","1215","Touring-2000","Touring Bikes","Bikes"
"0560","BK-T44U-60","Touring-2000 Blue, 60","755","Blue","1215","Touring-2000","Touring Bikes","Bikes"
"0573","BK-T79U-46","Touring-1000 Blue, 46","1482","Blue","2384","Touring-1000","Touring Bikes","Bikes"
"0574","BK-T79U-50","Touring-1000 Blue, 50","1482","Blue","2384","Touring-1000","Touring Bikes","Bikes"
"0575","BK-T79U-54","Touring-1000 Blue, 54","1482","Blue","2384","Touring-1000","Touring Bikes","Bikes"
"0576","BK-T79U-60","Touring-1000 Blue, 60","1482","Blue","2384","Touring-1000","Touring Bikes","Bikes"
"0326","BK-R50R-44","Road-650 Red, 44","413","Red","699","Road-650","Road Bikes","Bikes"
"0328","BK-R50R-48","Road-650 Red, 48","413","Red","699","Road-650","Road Bikes","Bikes"
"0330","BK-R50R-52","Road-650 Red, 52","413","Red","699","Road-650","Road Bikes","Bikes"
"0320","BK-R50R-58","Road-650 Red, 58","413","Red","699","Road-650","Road Bikes","Bikes"
"0322","BK-R50R-60","Road-650 Red, 60","413","Red","699","Road-650","Road Bikes","Bikes"
"0324","BK-R50R-62","Road-650 Red, 62","413","Red","699","Road-650","Road Bikes","Bikes"
"0327","BK-R50R-44","Road-650 Red, 44","487","Red","783","Road-650","Road Bikes","Bikes"
"0329","BK-R50R-48","Road-650 Red, 48","487","Red","783","Road-650","Road Bikes","Bikes"
"0331","BK-R50R-52","Road-650 Red, 52","487","Red","783","Road-650","Road Bikes","Bikes"
"0321","BK-R50R-58","Road-650 Red, 58","487","Red","783","Road-650","Road Bikes","Bikes"
"0323","BK-R50R-60","Road-650 Red, 60","487","Red","783","Road-650","Road Bikes","Bikes"
"0325","BK-R50R-62","Road-650 Red, 62","487","Red","783","Road-650","Road Bikes","Bikes"
"0317","BK-R68R-44","Road-450 Red, 44","885","Red","1458","Road-450","Road Bikes","Bikes"
"0318","BK-R68R-48","Road-450 Red, 48","885","Red","1458","Road-450","Road Bikes","Bikes"
"0319","BK-R68R-52","Road-450 Red, 52","885","Red","1458","Road-450","Road Bikes","Bikes"
"0315","BK-R68R-58","Road-450 Red, 58","885","Red","1458","Road-450","Road Bikes","Bikes"
"0316","BK-R68R-60","Road-450 Red, 60","885","Red","1458","Road-450","Road Bikes","Bikes"
"0371","BK-R89R-58","Road-250 Red, 58","1321","Red","2182","Road-250","Road Bikes","Bikes"
"0368","BK-R89R-44","Road-250 Red, 44","1519","Red","2443","Road-250","Road Bikes","Bikes"
"0369","BK-R89R-48","Road-250 Red, 48","1519","Red","2443","Road-250","Road Bikes","Bikes"
"0370","BK-R89R-52","Road-250 Red, 52","1519","Red","2443","Road-250","Road Bikes","Bikes"
"0372","BK-R89R-58","Road-250 Red, 58","1555","Red","2443","Road-250","Road Bikes","Bikes"
"0311","BK-R93R-44","Road-150 Red, 44","2171","Red","3578","Road-150","Road Bikes","Bikes"
"0312","BK-R93R-48","Road-150 Red, 48","2171","Red","3578","Road-150","Road Bikes","Bikes"
"0313","BK-R93R-52","Road-150 Red, 52","2171","Red","3578","Road-150","Road Bikes","Bikes"
"0314","BK-R93R-56","Road-150 Red, 56","2171","Red","3578","Road-150","Road Bikes","Bikes"
"0310","BK-R93R-62","Road-150 Red, 62","2171","Red","3578","Road-150","Road Bikes","Bikes"
"0591","BK-M18S-40","Mountain-500 Silver, 40","308","Silver","565","Mountain-500","Mountain Bikes","Bikes"
"0592","BK-M18S-42","Mountain-500 Silver, 42","308","Silver","565","Mountain-500","Mountain Bikes","Bikes"
"0593","BK-M18S-44","Mountain-500 Silver, 44","308","Silver","565","Mountain-500","Mountain Bikes","Bikes"
"0594","BK-M18S-48","Mountain-500 Silver, 48","308","Silver","565","Mountain-500","Mountain Bikes","Bikes"
"0595","BK-M18S-52","Mountain-500 Silver, 52","308","Silver","565","Mountain-500","Mountain Bikes","Bikes"
"0587","BK-M38S-38","Mountain-400-W Silver, 38","420","Silver","769","Mountain-400-W","Mountain Bikes","Bikes"
"0588","BK-M38S-40","Mountain-400-W Silver, 40","420","Silver","769","Mountain-400-W","Mountain Bikes","Bikes"
"0589","BK-M38S-42","Mountain-400-W Silver, 42","420","Silver","769","Mountain-400-W","Mountain Bikes","Bikes"
"0590","BK-M38S-46","Mountain-400-W Silver, 46","420","Silver","769","Mountain-400-W","Mountain Bikes","Bikes"
"0352","BK-M68S-38","Mountain-200 Silver, 38","1118","Silver","2071","Mountain-200","Mountain Bikes","Bikes"
"0354","BK-M68S-42","Mountain-200 Silver, 42","1118","Silver","2071","Mountain-200","Mountain Bikes","Bikes"
"0356","BK-M68S-46","Mountain-200 Silver, 46","1118","Silver","2071","Mountain-200","Mountain Bikes","Bikes"
"0353","BK-M68S-38","Mountain-200 Silver, 38","1266","Silver","2320","Mountain-200","Mountain Bikes","Bikes"
"0355","BK-M68S-42","Mountain-200 Silver, 42","1266","Silver","2320","Mountain-200","Mountain Bikes","Bikes"
"0357","BK-M68S-46","Mountain-200 Silver, 46","1266","Silver","2320","Mountain-200","Mountain Bikes","Bikes"
"0344","BK-M82S-38","Mountain-100 Silver, 38","1912","Silver","3400","Mountain-100","Mountain Bikes","Bikes"
"0345","BK-M82S-42","Mountain-100 Silver, 42","1912","Silver","3400","Mountain-100","Mountain Bikes","Bikes"
"0346","BK-M82S-44","Mountain-100 Silver, 44","1912","Silver","3400","Mountain-100","Mountain Bikes","Bikes"
"0347","BK-M82S-48","Mountain-100 Silver, 48","1912","Silver","3400","Mountain-100","Mountain Bikes","Bikes"
"0568","BK-T18Y-44","Touring-3000 Yellow, 44","461","Yellow","742","Touring-3000","Touring Bikes","Bikes"
"0569","BK-T18Y-50","Touring-3000 Yellow, 50","461","Yellow","742","Touring-3000","Touring Bikes","Bikes"
"0570","BK-T18Y-54","Touring-3000 Yellow, 54","461","Yellow","742","Touring-3000","Touring Bikes","Bikes"
"0571","BK-T18Y-58","Touring-3000 Yellow, 58","461","Yellow","742","Touring-3000","Touring Bikes","Bikes"
"0572","BK-T18Y-62","Touring-3000 Yellow, 62","461","Yellow","742","Touring-3000","Touring Bikes","Bikes"
"0381","BK-R64Y-38","Road-550-W Yellow, 38","606","Yellow","1000","Road-550-W","Road Bikes","Bikes"
"0383","BK-R64Y-40","Road-550-W Yellow, 40","606","Yellow","1000","Road-550-W","Road Bikes","Bikes"
"0385","BK-R64Y-42","Road-550-W Yellow, 42","606","Yellow","1000","Road-550-W","Road Bikes","Bikes"
"0387","BK-R64Y-44","Road-550-W Yellow, 44","606","Yellow","1000","Road-550-W","Road Bikes","Bikes"
"0389","BK-R64Y-48","Road-550-W Yellow, 48","606","Yellow","1000","Road-550-W","Road Bikes","Bikes"
"0382","BK-R64Y-38","Road-550-W Yellow, 38","713","Yellow","1120","Road-550-W","Road Bikes","Bikes"
"0384","BK-R64Y-40","Road-550-W Yellow, 40","713","Yellow","1120","Road-550-W","Road Bikes","Bikes"
"0386","BK-R64Y-42","Road-550-W Yellow, 42","713","Yellow","1120","Road-550-W","Road Bikes","Bikes"
"0388","BK-R64Y-44","Road-550-W Yellow, 44","713","Yellow","1120","Road-550-W","Road Bikes","Bikes"
"0390","BK-R64Y-48","Road-550-W Yellow, 48","713","Yellow","1120","Road-550-W","Road Bikes","Bikes"
"0580","BK-R79Y-40","Road-350-W Yellow, 40","1083","Yellow","1701","Road-350-W","Road Bikes","Bikes"
"0581","BK-R79Y-42","Road-350-W Yellow, 42","1083","Yellow","1701","Road-350-W","Road Bikes","Bikes"
"0582","BK-R79Y-44","Road-350-W Yellow, 44","1083","Yellow","1701","Road-350-W","Road Bikes","Bikes"
"0583","BK-R79Y-48","Road-350-W Yellow, 48","1083","Yellow","1701","Road-350-W","Road Bikes","Bikes"
"0561","BK-T79Y-46","Touring-1000 Yellow, 46","1482","Yellow","2384","Touring-1000","Touring Bikes","Bikes"
"0562","BK-T79Y-50","Touring-1000 Yellow, 50","1482","Yellow","2384","Touring-1000","Touring Bikes","Bikes"
"0563","BK-T79Y-54","Touring-1000 Yellow, 54","1482","Yellow","2384","Touring-1000","Touring Bikes","Bikes"
"0564","BK-T79Y-60","Touring-1000 Yellow, 60","1482","Yellow","2384","Touring-1000","Touring Bikes","Bikes"
"0466","GL-H102-L","Half-Finger Gloves, L","10","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0464","GL-H102-M","Half-Finger Gloves, M","10","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0462","GL-H102-S","Half-Finger Gloves, S","10","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0467","GL-H102-L","Half-Finger Gloves, L","09","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0465","GL-H102-M","Half-Finger Gloves, M","09","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0463","GL-H102-S","Half-Finger Gloves, S","09","Black","24","Half-Finger Gloves","Gloves","Clothing"
"0470","GL-F110-L","Full-Finger Gloves, L","16","Black","38","Full-Finger Gloves","Gloves","Clothing"
"0469","GL-F110-M","Full-Finger Gloves, M","16","Black","38","Full-Finger Gloves","Gloves","Clothing"
"0468","GL-F110-S","Full-Finger Gloves, S","16","Black","38","Full-Finger Gloves","Gloves","Clothing"
"0454","SH-M897-L","Men's Sports Shorts, L","25","Black","60","Men's Sports Shorts","Shorts","Clothing"
"0453","SH-M897-M","Men's Sports Shorts, M","25","Black","60","Men's Sports Shorts","Shorts","Clothing"
"0445","SH-M897-S","Men's Sports Shorts, S","25","Black","60","Men's Sports Shorts","Shorts","Clothing"
"0455","SH-M897-X","Men's Sports Shorts, XL","25","Black","60","Men's Sports Shorts","Shorts","Clothing"
"0476","SH-W890-L","Women's Mountain Shorts, L","26","Black","70","Women's Mountain Shorts","Shorts","Clothing"
"0475","SH-W890-M","Women's Mountain Shorts, M","26","Black","70","Women's Mountain Shorts","Shorts","Clothing"
"0474","SH-W890-S","Women's Mountain Shorts, S","26","Black","70","Women's Mountain Shorts","Shorts","Clothing"
"0458","TG-W091-L","Women's Tights, L","31","Black","75","Women's Tights","Tights","Clothing"
"0457","TG-W091-M","Women's Tights, M","31","Black","75","Women's Tights","Tights","Clothing"
"0456","TG-W091-S","Women's Tights, S","31","Black","75","Women's Tights","Tights","Clothing"
"0473","VE-C304-L","Classic Vest, L","24","Blue","64","Classic Vest","Vests","Clothing"
"0472","VE-C304-M","Classic Vest, M","24","Blue","64","Classic Vest","Vests","Clothing"
"0471","VE-C304-S","Classic Vest, S","24","Blue","64","Classic Vest","Vests","Clothing"
"0223","CA-1098","AWC Logo Cap","06","Multi","09","Cycling Cap","Caps","Clothing"
"0224","CA-1098","AWC Logo Cap","05","Multi","09","Cycling Cap","Caps","Clothing"
"0225","CA-1098","AWC Logo Cap","07","Multi","09","Cycling Cap","Caps","Clothing"
"0232","LJ-0192-L","Long-Sleeve Logo Jersey, L","32","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0233","LJ-0192-L","Long-Sleeve Logo Jersey, L","29","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0229","LJ-0192-M","Long-Sleeve Logo Jersey, M","32","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0230","LJ-0192-M","Long-Sleeve Logo Jersey, M","29","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0226","LJ-0192-S","Long-Sleeve Logo Jersey, S","32","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0227","LJ-0192-S","Long-Sleeve Logo Jersey, S","29","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0235","LJ-0192-X","Long-Sleeve Logo Jersey, XL","32","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0236","LJ-0192-X","Long-Sleeve Logo Jersey, XL","29","Multi","48","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0234","LJ-0192-L","Long-Sleeve Logo Jersey, L","38","Multi","50","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0231","LJ-0192-M","Long-Sleeve Logo Jersey, M","38","Multi","50","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0228","LJ-0192-S","Long-Sleeve Logo Jersey, S","38","Multi","50","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0237","LJ-0192-X","Long-Sleeve Logo Jersey, XL","38","Multi","50","Long-Sleeve Logo Jersey","Jerseys","Clothing"
"0461","SB-M891-L","Men's Bib-Shorts, L","37","Multi","90","Men's Bib-Shorts","Bib-Shorts","Clothing"
"0460","SB-M891-M","Men's Bib-Shorts, M","37","Multi","90","Men's Bib-Shorts","Bib-Shorts","Clothing"
"0459","SB-M891-S","Men's Bib-Shorts, S","37","Multi","90","Men's Bib-Shorts","Bib-Shorts","Clothing"
"0482","SO-R809-L","Racing Socks, L","03","White","09","Racing Socks","Socks","Clothing"
"0481","SO-R809-M","Racing Socks, M","03","White","09","Racing Socks","Socks","Clothing"
"0219","SO-B909-L","Mountain Bike Socks, L","03","White","10","Mountain Bike Socks","Socks","Clothing"
"0218","SO-B909-M","Mountain Bike Socks, M","03","White","10","Mountain Bike Socks","Socks","Clothing"
"0490","SJ-0194-L","Short-Sleeve Classic Jersey, L","42","Yellow","54","Short-Sleeve Classic Jersey","Jerseys","Clothing"
"0489","SJ-0194-M","Short-Sleeve Classic Jersey, M","42","Yellow","54","Short-Sleeve Classic Jersey","Jerseys","Clothing"
"0488","SJ-0194-S","Short-Sleeve Classic Jersey, S","42","Yellow","54","Short-Sleeve Classic Jersey","Jerseys","Clothing"
"0491","SJ-0194-X","Short-Sleeve Classic Jersey, XL","42","Yellow","54","Short-Sleeve Classic Jersey","Jerseys","Clothing"
"0410","FW-M423","LL Mountain Front Wheel","27","Black","61","LL Mountain Front Wheel","Wheels","Components"
"0413","FW-R623","LL Road Front Wheel","38","Black","86","LL Road Front Wheel","Wheels","Components"
"0419","RW-M423","LL Mountain Rear Wheel","39","Black","88","LL Mountain Rear Wheel","Wheels","Components"
"0422","RW-R623","LL Road Rear Wheel","50","Black","113","LL Road Rear Wheel","Wheels","Components"
"0556","CS-4759","LL Crankset","78","Black","175","LL Crankset","Cranksets","Components"
"0411","FW-M762","ML Mountain Front Wheel","93","Black","209","ML Mountain Front Wheel","Wheels","Components"
"0416","FW-T905","Touring Front Wheel","97","Black","218","Touring Front Wheel","Wheels","Components"
"0420","RW-M762","ML Mountain Rear Wheel","105","Black","236","ML Mountain Rear Wheel","Wheels","Components"
"0425","RW-T905","Touring Rear Wheel","109","Black","245","Touring Rear Wheel","Wheels","Components"
"0414","FW-R762","ML Road Front Wheel","110","Black","248","ML Road Front Wheel","Wheels","Components"
"0550","FR-M21B-40","LL Mountain Frame - Black, 40","137","Black","250","LL Mountain Frame","Mountain Frames","Components"
"0531","FR-M21B-42","LL Mountain Frame - Black, 42","137","Black","250","LL Mountain Frame","Mountain Frames","Components"
"0532","FR-M21B-44","LL Mountain Frame - Black, 44","137","Black","250","LL Mountain Frame","Mountain Frames","Components"
"0533","FR-M21B-48","LL Mountain Frame - Black, 48","137","Black","250","LL Mountain Frame","Mountain Frames","Components"
"0534","FR-M21B-52","LL Mountain Frame - Black, 52","137","Black","250","LL Mountain Frame","Mountain Frames","Components"
"0557","CS-6583","ML Crankset","114","Black","256","ML Crankset","Cranksets","Components"
"0423","RW-R762","ML Road Rear Wheel","122","Black","275","ML Road Rear Wheel","Wheels","Components"
"0279","FR-R38B-44","LL Road Frame - Black, 44","176","Black","298","LL Road Frame","Road Frames","Components"
"0282","FR-R38B-48","LL Road Frame - Black, 48","176","Black","298","LL Road Frame","Road Frames","Components"
"0285","FR-R38B-52","LL Road Frame - Black, 52","176","Black","298","LL Road Frame","Road Frames","Components"
"0253","FR-R38B-58","LL Road Frame - Black, 58","176","Black","298","LL Road Frame","Road Frames","Components"
"0256","FR-R38B-60","LL Road Frame - Black, 60","176","Black","298","LL Road Frame","Road Frames","Components"
"0259","FR-R38B-62","LL Road Frame - Black, 62","176","Black","298","LL Road Frame","Road Frames","Components"
"0412","FW-M928","HL Mountain Front Wheel","133","Black","300","HL Mountain Front Wheel","Wheels","Components"
"0280","FR-R38B-44","LL Road Frame - Black, 44","170","Black","307","LL Road Frame","Road Frames","Components"
"0283","FR-R38B-48","LL Road Frame - Black, 48","170","Black","307","LL Road Frame","Road Frames","Components"
"0286","FR-R38B-52","LL Road Frame - Black, 52","170","Black","307","LL Road Frame","Road Frames","Components"
"0254","FR-R38B-58","LL Road Frame - Black, 58","170","Black","307","LL Road Frame","Road Frames","Components"
"0257","FR-R38B-60","LL Road Frame - Black, 60","170","Black","307","LL Road Frame","Road Frames","Components"
"0260","FR-R38B-62","LL Road Frame - Black, 62","170","Black","307","LL Road Frame","Road Frames","Components"
"0421","RW-M928","HL Mountain Rear Wheel","145","Black","327","HL Mountain Rear Wheel","Wheels","Components"
"0415","FW-R820","HL Road Front Wheel","147","Black","330","HL Road Front Wheel","Wheels","Components"
"0281","FR-R38B-44","LL Road Frame - Black, 44","205","Black","337","LL Road Frame","Road Frames","Components"
"0284","FR-R38B-48","LL Road Frame - Black, 48","205","Black","337","LL Road Frame","Road Frames","Components"
"0287","FR-R38B-52","LL Road Frame - Black, 52","205","Black","337","LL Road Frame","Road Frames","Components"
"0255","FR-R38B-58","LL Road Frame - Black, 58","205","Black","337","LL Road Frame","Road Frames","Components"
"0258","FR-R38B-60","LL Road Frame - Black, 60","205","Black","337","LL Road Frame","Road Frames","Components"
"0261","FR-R38B-62","LL Road Frame - Black, 62","205","Black","337","LL Road Frame","Road Frames","Components"
"0426","FR-M63B-40","ML Mountain Frame - Black, 40","186","Black","349","ML Mountain Frame","Mountain Frames","Components"
"0427","FR-M63B-44","ML Mountain Frame - Black, 44","186","Black","349","ML Mountain Frame","Mountain Frames","Components"
"0428","FR-M63B-48","ML Mountain Frame - Black, 48","186","Black","349","ML Mountain Frame","Mountain Frames","Components"
"0409","FR-M63B-38","ML Mountain Frame - Black, 38","186","Black","349","ML Mountain Frame-W","Mountain Frames","Components"
"0424","RW-R820","HL Road Rear Wheel","159","Black","357","HL Road Rear Wheel","Wheels","Components"
"0558","CS-9183","HL Crankset","180","Black","405","HL Crankset","Cranksets","Components"
"0304","FR-M94B-38","HL Mountain Frame - Black, 38","617","Black","1191","HL Mountain Frame","Mountain Frames","Components"
"0296","FR-M94B-42","HL Mountain Frame - Black, 42","617","Black","1191","HL Mountain Frame","Mountain Frames","Components"
"0301","FR-M94B-46","HL Mountain Frame - Black, 46","617","Black","1191","HL Mountain Frame","Mountain Frames","Components"
"0305","FR-M94B-38","HL Mountain Frame - Black, 38","654","Black","1227","HL Mountain Frame","Mountain Frames","Components"
"0297","FR-M94B-42","HL Mountain Frame - Black, 42","654","Black","1227","HL Mountain Frame","Mountain Frames","Components"
