SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount
43662004,227,-1,315,2021-07-07,2021-07-17,2021-07-14,6,4,874.79,3499.18,0.0,884.71,3538.83,3499.18
43662005,227,-1,262,2021-07-07,2021-07-17,2021-07-14,6,3,183.94,551.81,0.0,181.49,544.46,551.81
43662006,227,-1,326,2021-07-07,2021-07-17,2021-07-14,6,5,419.46,2097.29,0.0,413.15,2065.73,2097.29
43662007,227,-1,332,2021-07-07,2021-07-17,2021-07-14,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43662008,227,-1,338,2021-07-07,2021-07-17,2021-07-14,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43662009,227,-1,314,2021-07-07,2021-07-17,2021-07-14,6,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43662010,227,-1,317,2021-07-07,2021-07-17,2021-07-14,6,1,874.79,874.79,0.0,884.71,884.71,874.79
43662011,227,-1,328,2021-07-07,2021-07-17,2021-07-14,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43662012,227,-1,275,2021-07-07,2021-07-17,2021-07-14,6,1,356.9,356.9,0.0,352.14,352.14,356.9
43662013,227,-1,319,2021-07-07,2021-07-17,2021-07-14,6,6,874.79,5248.76,0.0,884.71,5308.25,5248.76
43662014,227,-1,270,2021-07-07,2021-07-17,2021-07-14,6,1,183.94,183.94,0.0,181.49,181.49,183.94
43662015,227,-1,253,2021-07-07,2021-07-17,2021-07-14,6,3,178.58,535.74,0.0,176.2,528.6,535.74
43662016,227,-1,310,2021-07-07,2021-07-17,2021-07-14,6,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43662017,227,-1,322,2021-07-07,2021-07-17,2021-07-14,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43662018,227,-1,264,2021-07-07,2021-07-17,2021-07-14,6,1,183.94,183.94,0.0,181.49,181.49,183.94
43662019,227,-1,276,2021-07-07,2021-07-17,2021-07-14,6,1,356.9,356.9,0.0,352.14,352.14,356.9
43662020,227,-1,285,2021-07-07,2021-07-17,2021-07-14,6,1,178.58,178.58,0.0,176.2,176.2,178.58
43662021,227,-1,334,2021-07-07,2021-07-17,2021-07-14,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43662022,227,-1,316,2021-07-07,2021-07-17,2021-07-14,6,1,874.79,874.79,0.0,884.71,884.71,874.79
43663001,510,-1,322,2021-07-07,2021-07-17,2021-07-14,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43664001,397,-1,345,2021-07-07,2021-07-17,2021-07-14,1,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43664002,397,-1,348,2021-07-07,2021-07-17,2021-07-14,1,4,2024.99,8099.98,0.0,1898.09,7592.38,8099.98
43664003,397,-1,229,2021-07-07,2021-07-17,2021-07-14,1,1,28.84,28.84,0.0,31.72,31.72,28.84
43664004,397,-1,235,2021-07-07,2021-07-17,2021-07-14,1,1,28.84,28.84,0.0,31.72,31.72,28.84
43664005,397,-1,350,2021-07-07,2021-07-17,2021-07-14,1,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43664006,397,-1,344,2021-07-07,2021-07-17,2021-07-14,1,3,2039.99,6119.98,0.0,1912.15,5736.46,6119.98
43664007,397,-1,346,2021-07-07,2021-07-17,2021-07-14,1,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43664008,397,-1,351,2021-07-07,2021-07-17,2021-07-14,1,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43665001,146,-1,220,2021-07-07,2021-07-17,2021-07-14,1,2,20.19,40.37,0.0,12.03,24.06,40.37
43665002,146,-1,346,2021-07-07,2021-07-17,2021-07-14,1,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43665003,146,-1,212,2021-07-07,2021-07-17,2021-07-14,1,1,20.19,20.19,0.0,12.03,12.03,20.19
43665004,146,-1,232,2021-07-07,2021-07-17,2021-07-14,1,2,28.84,57.68,0.0,31.72,63.45,57.68
43665005,146,-1,350,2021-07-07,2021-07-17,2021-07-14,1,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43665006,146,-1,223,2021-07-07,2021-07-17,2021-07-14,1,2,5.19,10.37,0.0,5.71,11.41,10.37
43665007,146,-1,348,2021-07-07,2021-07-17,2021-07-14,1,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43665008,146,-1,351,2021-07-07,2021-07-17,2021-07-14,1,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43665009,146,-1,218,2021-07-07,2021-07-17,2021-07-14,1,6,5.7,34.2,0.0,3.4,20.38,34.2
43665010,146,-1,349,2021-07-07,2021-07-17,2021-07-14,1,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43666001,511,-1,330,2021-07-09,2021-07-19,2021-07-16,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43666002,511,-1,314,2021-07-09,2021-07-19,2021-07-16,4,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43666003,511,-1,275,2021-07-09,2021-07-19,2021-07-16,4,1,356.9,356.9,0.0,352.14,352.14,356.9
43666004,511,-1,317,2021-07-09,2021-07-19,2021-07-16,4,1,874.79,874.79,0.0,884.71,884.71,874.79
43666005,511,-1,338,2021-07-09,2021-07-19,2021-07-16,4,2,419.46,838.92,0.0,413.15,826.29,838.92
43666006,511,-1,334,2021-07-09,2021-07-19,2021-07-16,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43667001,646,-1,219,2021-07-10,2021-07-20,2021-07-17,3,3,5.7,17.1,0.0,3.4,10.19,17.1
43667002,646,-1,346,2021-07-10,2021-07-20,2021-07-17,3,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43667003,646,-1,351,2021-07-10,2021-07-20,2021-07-17,3,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43667004,646,-1,348,2021-07-10,2021-07-20,2021-07-17,3,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43668001,514,-1,317,2021-07-10,2021-07-20,2021-07-17,6,3,874.79,2624.38,0.0,884.71,2654.12,2624.38
43668002,514,-1,314,2021-07-10,2021-07-20,2021-07-17,6,2,2146.96,4293.92,0.0,2171.29,4342.59,4293.92
43668003,514,-1,322,2021-07-10,2021-07-20,2021-07-17,6,7,419.46,2936.21,0.0,413.15,2892.02,2936.21
43668004,514,-1,332,2021-07-10,2021-07-20,2021-07-17,6,6,419.46,2516.75,0.0,413.15,2478.88,2516.75
43668005,514,-1,232,2021-07-10,2021-07-20,2021-07-17,6,6,28.84,173.04,0.0,31.72,190.35,173.04
43668006,514,-1,272,2021-07-10,2021-07-20,2021-07-17,6,6,183.94,1103.63,0.0,181.49,1088.91,1103.63
43668007,514,-1,212,2021-07-10,2021-07-20,2021-07-17,6,2,20.19,40.37,0.0,12.03,24.06,40.37
43668008,514,-1,220,2021-07-10,2021-07-20,2021-07-17,6,2,20.19,40.37,0.0,12.03,24.06,40.37
43668009,514,-1,315,2021-07-10,2021-07-20,2021-07-17,6,2,874.79,1749.59,0.0,884.71,1769.42,1749.59
43668010,514,-1,223,2021-07-10,2021-07-20,2021-07-17,6,4,5.19,20.75,0.0,5.71,22.82,20.75
43668011,514,-1,270,2021-07-10,2021-07-20,2021-07-17,6,2,183.94,367.88,0.0,181.49,362.97,367.88
43668012,514,-1,316,2021-07-10,2021-07-20,2021-07-17,6,3,874.79,2624.38,0.0,884.71,2654.12,2624.38
43668013,514,-1,324,2021-07-10,2021-07-20,2021-07-17,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43668014,514,-1,342,2021-07-10,2021-07-20,2021-07-17,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43668015,514,-1,264,2021-07-10,2021-07-20,2021-07-17,6,3,183.94,551.81,0.0,181.49,544.46,551.81
43668016,514,-1,330,2021-07-10,2021-07-20,2021-07-17,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43668017,514,-1,334,2021-07-10,2021-07-20,2021-07-17,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43668018,514,-1,262,2021-07-10,2021-07-20,2021-07-17,6,2,183.94,367.88,0.0,181.49,362.97,367.88
43668019,514,-1,235,2021-07-10,2021-07-20,2021-07-17,6,1,28.84,28.84,0.0,31.72,31.72,28.84
43668020,514,-1,338,2021-07-10,2021-07-20,2021-07-17,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43668021,514,-1,275,2021-07-10,2021-07-20,2021-07-17,6,4,356.9,1427.59,0.0,352.14,1408.56,1427.59
43668022,514,-1,319,2021-07-10,2021-07-20,2021-07-17,6,6,874.79,5248.76,0.0,884.71,5308.25,5248.76
43668023,514,-1,326,2021-07-10,2021-07-20,2021-07-17,6,4,419.46,1677.84,0.0,413.15,1652.59,1677.84
43668024,514,-1,285,2021-07-10,2021-07-20,2021-07-17,6,3,178.58,535.74,0.0,176.2,528.6,535.74
43668025,514,-1,229,2021-07-10,2021-07-20,2021-07-17,6,4,28.84,115.36,0.0,31.72,126.9,115.36
43668026,514,-1,253,2021-07-10,2021-07-20,2021-07-17,6,3,178.58,535.74,0.0,176.2,528.6,535.74
43668027,514,-1,215,2021-07-10,2021-07-20,2021-07-17,6,1,20.19,20.19,0.0,12.03,12.03,20.19
43668028,514,-1,276,2021-07-10,2021-07-20,2021-07-17,6,3,356.9,1070.69,0.0,352.14,1056.42,1070.69
43668029,514,-1,328,2021-07-10,2021-07-20,2021-07-17,6,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43669001,578,-1,304,2021-07-10,2021-07-20,2021-07-17,1,1,714.7,714.7,0.0,617.03,617.03,714.7
43670001,504,-1,219,2021-07-12,2021-07-22,2021-07-19,3,1,5.7,5.7,0.0,3.4,3.4,5.7
43670002,504,-1,218,2021-07-12,2021-07-22,2021-07-19,3,2,5.7,11.4,0.0,3.4,6.79,11.4
43670003,504,-1,346,2021-07-12,2021-07-22,2021-07-19,3,2,2039.99,4079.99,0.0,1912.15,3824.31,4079.99
43670004,504,-1,349,2021-07-12,2021-07-22,2021-07-19,3,1,2024.99,2024.99,0.0,1898.09,1898.09,2024.99
43671001,200,-1,314,2021-07-15,2021-07-25,2021-07-22,1,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43671002,200,-1,229,2021-07-15,2021-07-25,2021-07-22,1,2,28.84,57.68,0.0,31.72,63.45,57.68
43671003,200,-1,317,2021-07-15,2021-07-25,2021-07-22,1,1,874.79,874.79,0.0,884.71,884.71,874.79
43671004,200,-1,338,2021-07-15,2021-07-25,2021-07-22,1,2,419.46,838.92,0.0,413.15,826.29,838.92
43671005,200,-1,275,2021-07-15,2021-07-25,2021-07-22,1,2,356.9,713.8,0.0,352.14,704.28,713.8
43671006,200,-1,328,2021-07-15,2021-07-25,2021-07-22,1,2,419.46,838.92,0.0,413.15,826.29,838.92
43671007,200,-1,316,2021-07-15,2021-07-25,2021-07-22,1,2,874.79,1749.59,0.0,884.71,1769.42,1749.59
43671008,200,-1,330,2021-07-15,2021-07-25,2021-07-22,1,2,419.46,838.92,0.0,413.15,826.29,838.92
43671009,200,-1,235,2021-07-15,2021-07-25,2021-07-22,1,1,28.84,28.84,0.0,31.72,31.72,28.84
43671010,200,-1,220,2021-07-15,2021-07-25,2021-07-22,1,1,20.19,20.19,0.0,12.03,12.03,20.19
43671011,200,-1,215,2021-07-15,2021-07-25,2021-07-22,1,1,20.19,20.19,0.0,12.03,12.03,20.19
43672001,119,-1,218,2021-07-16,2021-07-26,2021-07-23,6,6,5.7,34.2,0.0,3.4,20.38,34.2
43672002,119,-1,349,2021-07-16,2021-07-26,2021-07-23,6,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43672003,119,-1,347,2021-07-16,2021-07-26,2021-07-23,6,1,2039.99,2039.99,0.0,1912.15,1912.15,2039.99
43673001,618,-1,315,2021-07-16,2021-07-26,2021-07-23,2,1,874.79,874.79,0.0,884.71,884.71,874.79
43673002,618,-1,232,2021-07-16,2021-07-26,2021-07-23,2,3,28.84,86.52,0.0,31.72,95.17,86.52
43673003,618,-1,270,2021-07-16,2021-07-26,2021-07-23,2,1,183.94,183.94,0.0,181.49,181.49,183.94
43673004,618,-1,324,2021-07-16,2021-07-26,2021-07-23,2,2,419.46,838.92,0.0,413.15,826.29,838.92
43673005,618,-1,326,2021-07-16,2021-07-26,2021-07-23,2,1,419.46,419.46,0.0,413.15,413.15,419.46
43673006,618,-1,285,2021-07-16,2021-07-26,2021-07-23,2,2,178.58,357.16,0.0,176.2,352.4,357.16
43673007,618,-1,342,2021-07-16,2021-07-26,2021-07-23,2,2,419.46,838.92,0.0,413.15,826.29,838.92
43673008,618,-1,223,2021-07-16,2021-07-26,2021-07-23,2,1,5.19,5.19,0.0,5.71,5.71,5.19
43673009,618,-1,215,2021-07-16,2021-07-26,2021-07-23,2,2,20.19,40.37,0.0,12.03,24.06,40.37
43673010,618,-1,220,2021-07-16,2021-07-26,2021-07-23,2,1,20.19,20.19,0.0,12.03,12.03,20.19
43673011,618,-1,212,2021-07-16,2021-07-26,2021-07-23,2,4,20.19,80.75,0.0,12.03,48.11,80.75
43674001,83,-1,319,2021-07-17,2021-07-27,2021-07-24,6,3,874.79,2624.38,0.0,884.71,2654.12,2624.38
43675001,670,-1,324,2021-07-17,2021-07-27,2021-07-24,3,4,419.46,1677.84,0.0,413.15,1652.59,1677.84
43675002,670,-1,220,2021-07-17,2021-07-27,2021-07-24,3,5,20.19,100.93,0.0,12.03,60.14,100.93
43675003,670,-1,285,2021-07-17,2021-07-27,2021-07-24,3,2,178.58,357.16,0.0,176.2,352.4,357.16
43675004,670,-1,215,2021-07-17,2021-07-27,2021-07-24,3,1,20.19,20.19,0.0,12.03,12.03,20.19
43675005,670,-1,326,2021-07-17,2021-07-27,2021-07-24,3,2,419.46,838.92,0.0,413.15,826.29,838.92
43675006,670,-1,319,2021-07-17,2021-07-27,2021-07-24,3,2,874.79,1749.59,0.0,884.71,1769.42,1749.59
43675007,670,-1,223,2021-07-17,2021-07-27,2021-07-24,3,2,5.19,10.37,0.0,5.71,11.41,10.37
43675008,670,-1,315,2021-07-17,2021-07-27,2021-07-24,3,1,874.79,874.79,0.0,884.71,884.71,874.79
43675009,670,-1,232,2021-07-17,2021-07-27,2021-07-24,3,3,28.84,86.52,0.0,31.72,95.17,86.52
43676001,17,-1,349,2021-07-17,2021-07-27,2021-07-24,5,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43676002,17,-1,351,2021-07-17,2021-07-27,2021-07-24,5,2,2024.99,4049.99,0.0,1898.09,3796.19,4049.99
43676003,17,-1,219,2021-07-17,2021-07-27,2021-07-24,5,1,5.7,5.7,0.0,3.4,3.4,5.7
43676004,17,-1,348,2021-07-17,2021-07-27,2021-07-24,5,3,2024.99,6074.98,0.0,1898.09,5694.28,6074.98
43676005,17,-1,218,2021-07-17,2021-07-27,2021-07-24,5,4,5.7,22.8,0.0,3.4,13.59,22.8
43677001,679,-1,232,2021-07-18,2021-07-28,2021-07-25,6,3,28.84,86.52,0.0,31.72,95.17,86.52
43677002,679,-1,314,2021-07-18,2021-07-28,2021-07-25,6,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43677003,679,-1,319,2021-07-18,2021-07-28,2021-07-25,6,1,874.79,874.79,0.0,884.71,884.71,874.79
43677004,679,-1,342,2021-07-18,2021-07-28,2021-07-25,6,1,419.46,419.46,0.0,413.15,413.15,419.46
43677005,679,-1,215,2021-07-18,2021-07-28,2021-07-25,6,2,20.19,40.37,0.0,12.03,24.06,40.37
43677006,679,-1,322,2021-07-18,2021-07-28,2021-07-25,6,4,419.46,1677.84,0.0,413.15,1652.59,1677.84
43677007,679,-1,332,2021-07-18,2021-07-28,2021-07-25,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43677008,679,-1,328,2021-07-18,2021-07-28,2021-07-25,6,1,419.46,419.46,0.0,413.15,413.15,419.46
43677009,679,-1,223,2021-07-18,2021-07-28,2021-07-25,6,5,5.19,25.93,0.0,5.71,28.53,25.93
43677010,679,-1,212,2021-07-18,2021-07-28,2021-07-25,6,1,20.19,20.19,0.0,12.03,12.03,20.19
43677011,679,-1,315,2021-07-18,2021-07-28,2021-07-25,6,1,874.79,874.79,0.0,884.71,884.71,874.79
43677012,679,-1,270,2021-07-18,2021-07-28,2021-07-25,6,2,183.94,367.88,0.0,181.49,362.97,367.88
43678001,203,-1,322,2021-07-18,2021-07-28,2021-07-25,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43678002,203,-1,285,2021-07-18,2021-07-28,2021-07-25,4,2,178.58,357.16,0.0,176.2,352.4,357.16
43678003,203,-1,332,2021-07-18,2021-07-28,2021-07-25,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43678004,203,-1,275,2021-07-18,2021-07-28,2021-07-25,4,2,356.9,713.8,0.0,352.14,704.28,713.8
43678005,203,-1,326,2021-07-18,2021-07-28,2021-07-25,4,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43678006,203,-1,324,2021-07-18,2021-07-28,2021-07-25,4,2,419.46,838.92,0.0,413.15,826.29,838.92
43678007,203,-1,223,2021-07-18,2021-07-28,2021-07-25,4,3,5.19,15.56,0.0,5.71,17.12,15.56
43678008,203,-1,215,2021-07-18,2021-07-28,2021-07-25,4,4,20.19,80.75,0.0,12.03,48.11,80.75
43678009,203,-1,270,2021-07-18,2021-07-28,2021-07-25,4,2,183.94,367.88,0.0,181.49,362.97,367.88
43678010,203,-1,317,2021-07-18,2021-07-28,2021-07-25,4,1,874.79,874.79,0.0,884.71,884.71,874.79
43678011,203,-1,262,2021-07-18,2021-07-28,2021-07-25,4,2,183.94,367.88,0.0,181.49,362.97,367.88
43678012,203,-1,235,2021-07-18,2021-07-28,2021-07-25,4,1,28.84,28.84,0.0,31.72,31.72,28.84
43678013,203,-1,342,2021-07-18,2021-07-28,2021-07-25,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43678014,203,-1,319,2021-07-18,2021-07-28,2021-07-25,4,2,874.79,1749.59,0.0,884.71,1769.42,1749.59
43678015,203,-1,232,2021-07-18,2021-07-28,2021-07-25,4,2,28.84,57.68,0.0,31.72,63.45,57.68
43678016,203,-1,315,2021-07-18,2021-07-28,2021-07-25,4,1,874.79,874.79,0.0,884.71,884.71,874.79
43678017,203,-1,316,2021-07-18,2021-07-28,2021-07-25,4,1,874.79,874.79,0.0,884.71,884.71,874.79
43678018,203,-1,220,2021-07-18,2021-07-28,2021-07-25,4,3,20.19,60.56,0.0,12.03,36.08,60.56
43678019,203,-1,212,2021-07-18,2021-07-28,2021-07-25,4,1,20.19,20.19,0.0,12.03,12.03,20.19
43679001,480,-1,322,2021-07-18,2021-07-28,2021-07-25,6,1,419.46,419.46,0.0,413.15,413.15,419.46
43679002,480,-1,342,2021-07-18,2021-07-28,2021-07-25,6,2,419.46,838.92,0.0,413.15,826.29,838.92
43679003,480,-1,232,2021-07-18,2021-07-28,2021-07-25,6,2,28.84,57.68,0.0,31.72,63.45,57.68
43680001,491,-1,322,2021-07-18,2021-07-28,2021-07-25,4,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43680002,491,-1,317,2021-07-18,2021-07-28,2021-07-25,4,2,874.79,1749.59,0.0,884.71,1769.42,1749.59
43680003,491,-1,285,2021-07-18,2021-07-28,2021-07-25,4,2,178.58,357.16,0.0,176.2,352.4,357.16
43680004,491,-1,212,2021-07-18,2021-07-28,2021-07-25,4,4,20.19,80.75,0.0,12.03,48.11,80.75
43680005,491,-1,270,2021-07-18,2021-07-28,2021-07-25,4,1,183.94,183.94,0.0,181.49,181.49,183.94
43680006,491,-1,220,2021-07-18,2021-07-28,2021-07-25,4,1,20.19,20.19,0.0,12.03,12.03,20.19
43680007,491,-1,232,2021-07-18,2021-07-28,2021-07-25,4,2,28.84,57.68,0.0,31.72,63.45,57.68
43680008,491,-1,262,2021-07-18,2021-07-28,2021-07-25,4,2,183.94,367.88,0.0,181.49,362.97,367.88
43680009,491,-1,319,2021-07-18,2021-07-28,2021-07-25,4,1,874.79,874.79,0.0,884.71,884.71,874.79
43680010,491,-1,324,2021-07-18,2021-07-28,2021-07-25,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43680011,491,-1,314,2021-07-18,2021-07-28,2021-07-25,4,2,2146.96,4293.92,0.0,2171.29,4342.59,4293.92
43680012,491,-1,215,2021-07-18,2021-07-28,2021-07-25,4,2,20.19,40.37,0.0,12.03,24.06,40.37
43680013,491,-1,332,2021-07-18,2021-07-28,2021-07-25,4,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43680014,491,-1,223,2021-07-18,2021-07-28,2021-07-25,4,3,5.19,15.56,0.0,5.71,17.12,15.56
43680015,491,-1,328,2021-07-18,2021-07-28,2021-07-25,4,1,419.46,419.46,0.0,413.15,413.15,419.46
43681001,423,-1,232,2021-07-19,2021-07-29,2021-07-26,5,6,28.84,173.04,0.0,31.72,190.35,173.04
43681002,423,-1,326,2021-07-19,2021-07-29,2021-07-26,5,5,419.46,2097.29,0.0,413.15,2065.73,2097.29
43681003,423,-1,275,2021-07-19,2021-07-29,2021-07-26,5,1,356.9,356.9,0.0,352.14,352.14,356.9
43681004,423,-1,212,2021-07-19,2021-07-29,2021-07-26,5,1,20.19,20.19,0.0,12.03,12.03,20.19
43681005,423,-1,270,2021-07-19,2021-07-29,2021-07-26,5,1,183.94,183.94,0.0,181.49,181.49,183.94
43681006,423,-1,215,2021-07-19,2021-07-29,2021-07-26,5,2,20.19,40.37,0.0,12.03,24.06,40.37
43681007,423,-1,342,2021-07-19,2021-07-29,2021-07-26,5,3,419.46,1258.38,0.0,413.15,1239.44,1258.38
43681008,423,-1,272,2021-07-19,2021-07-29,2021-07-26,5,2,183.94,367.88,0.0,181.49,362.97,367.88
43681009,423,-1,319,2021-07-19,2021-07-29,2021-07-26,5,3,874.79,2624.38,0.0,884.71,2654.12,2624.38
43681010,423,-1,338,2021-07-19,2021-07-29,2021-07-26,5,1,419.46,419.46,0.0,413.15,413.15,419.46
43681011,423,-1,324,2021-07-19,2021-07-29,2021-07-26,5,2,419.46,838.92,0.0,413.15,826.29,838.92
43681012,423,-1,285,2021-07-19,2021-07-29,2021-07-26,5,2,178.58,357.16,0.0,176.2,352.4,357.16
43681013,423,-1,314,2021-07-19,2021-07-29,2021-07-26,5,1,2146.96,2146.96,0.0,2171.29,2171.29,2146.96
43681014,423,-1,229,2021-07-19,2021-07-29,2021-07-26,5,2,28.84,57.68,0.0,31.72,63.45,57.68
43681015,423,-1,330,2021-07-19,2021-07-29,2021-07-26,5,2,419.46,838.92,0.0,413.15,826.29,838.92
43681016,423,-1,322,2021-07-19,2021-07-29,2021-07-26,5,2,419.46,838.92,0.0,413.15,826.29,838.92
43681017,423,-1,317,2021-07-19,2021-07-29,2021-07-26,5,1,874.79,874.79,0.0,884.71,884.71,874.79
43681018,423,-1,235,2021-07-19,2021-07-29,2021-07-26,5,2,28.84,57.68,0.0,31.72,63.45,57.68
43681019,423,-1,220,2021-07-19,2021-07-29,2021-07-26,5,2,20.19,40.37,0.0,12.03,24.06,40.37
43681020,423,-1,262,2021-07-19,2021-07-29,2021-07-26,5,1,183.94,183.94,0.0,181.49,181.49,183.94
43681021,423,-1,223,2021-07-19,2021-07-29,2021-07-26,5,2,5.19,10.37,0.0,5.71,11.41,10.37
